"","Topic Labels","Prevalence","Top related words"
"t_10","royal_hospital",5.649,"hospital, health, beds, hospitals, patients, royal, royal_hospital, medical, unit, centre, modbury, patient, children, women, emergency, services, women_children, medical_centre, network, ward, modbury_hospital, repat, local, kordamentha, health_network"
"t_15","mental_health",5.036,"health, sa, services, mental, mental_health, service, sa_health, pathology, sa_pathology, council, health_services, public, country, ambulance, system, people, deaths, patients, support, wellbeing, community, representing, private, public_health, outcomes"
"t_24","domestic_violence",5.032,"chamber, original, report, public, parliament, informed, information, fact, notice, final, matter, told, violence, record, decision, statement, domestic, quote, letter, referred, issue, subject, media, confirm, domestic_violence"
"t_2","regional_development",4.739,"regional, development, industries, primary, regional_development, tourism, primary_industries, trade, industries_regional, investment, industry, council, international, economic, support, businesses, growth, jobs, communities, business, economy, commitment, supporting, regions, food"
"t_11","elective_surgery",4.649,"budget, million, estimates, services, additional, forward, elective, agencies, savings, elective_surgery, surgery, fund, financial, money, forward_estimates, allocated, human, spent, human_services, advertising, cent, reduction, paid, estimated, result"
"t_7","transport_infrastructure",4.521,"transport, infrastructure, transport_infrastructure, local, road, service, infrastructure_local, network, rail, public, sa, train, services, bus, service_sa, north, public_transport, planning, representing, tram, privatisation, tender, project, case, safety"
"t_12","liberal_party",4.257,"liberal, disability, party, election, people, ndis, liberal_party, services, commitment, support, australians, living, scheme, level, access, funded, labor, federal, funding, community, classification, privatisation, positions, fte, living_disability"
"t_5","emergency_services",4.182,"police, services, hours, emergency, emergency_services, trading, correctional_services, correctional, commissioner, businesses, shop, sapol, trading_hours, small, shop_trading, police_commissioner, business, services_correctional, police_emergency, deregulation, station, officers, techniques, front, boxing"
"t_9","remote_aboriginal",4.175,"funding, federal, aboriginal, agreement, housing, remote, community, commonwealth, communities, pool, national, deal, chamber, remote_aboriginal, negotiations, original, support, ongoing, people, indigenous, issue, offer, discussions, tafe, aboriginal_housing"
"t_16","abc_radio",4.13,"work, workers, cent, employment, drug, jobs, reported, people, radio, rate, full, research, stated, found, testing, cannabis, abc, online, advertiser, article, increase, institute, report, alcohol, data"
"t_18","chief_executive",4.058,"chief, executive, chief_executive, report, contract, position, meeting, officer, cabinet, public, deputy, kordamentha, annual, discussions, employment, parliament, meetings, psychiatrist, auditor, appointment, ministerial, date, walker, signed, held"
"t_23","child_protection",3.915,"child, protection, child_protection, care, children, people, young, young_people, carers, foster, cost, residential, system, residential_care, average, foster_carers, commercial, children_young, grandparents, youth, grandchildren, grandparents_grandchildren, average_cost, family, guardianship"
"t_6","diesel_generators",3.805,"energy, cost, plan, generators, policy, contract, power, implementation, electricity, company, recently, diesel, date, gas, climate, security, taxpayers, law, private, prices, announced, market, diesel_generators, legislation, ago"
"t_1","safework_sa",3.726,"public, deputy, sa, information, investigation, cabinet, icac, legal, documents, safework, renewal, act, safework_sa, renewal_sa, police, commissioner, statements, ms, statement, acting, access, scissor, inquiry, independent, travel"
"t_3","land_tax",3.721,"land, tax, land_tax, commission, royal, plan, commissioner, management, royal_commission, basin, darling, darling_basin, aggregation, property, properties, resources, measures, rights, release, proposed, deputy, tax_aggregation, sale, act, council"
"t_13","kangaroo_island",3.715,"island, kangaroo, centre, kangaroo_island, conservation, tourism, park, environment, national, contract, company, correctional, remand, sustainability, correctional_services, services, environment_conservation, visited, sustainability_environment, force, remand_centre, man, task, order, risk"
"t_25","environment_water",3.639,"water, environment, environment_water, industry, skills, financial, expenditure, deputy, sa, sa_water, projects, works, budgeted, project, industry_skills, capital, incur, incur_expenditure, capital_works, deputy_environment, training, anticipated, innovation, breakdown, financial_financial"
"t_4","brand_sa",3.636,"funding, email, sa, cut, programs, business, brand, program, brand_sa, letter, job, address, portfolio, emails, original, jobs, organisation, services, assistant, consumer, ministerial, fund, decision, regional, records"
"t_19","energy_mining",3.614,"energy, david, concerns, mining, unit, professor, energy_mining, council, port, raised, craniofacial, craniofacial_unit, professor_david, representing, david_david, health, suicide, augusta, independent, president, work, port_augusta, prevention, dr, women"
"t_14","treasury_finance",3.523,"public, services, working, treasury, positions, finance, treasury_finance, flu, fte, funded, names, stage, titles, fte_positions, salaries, branch, titles_salaries, names_titles, working_stage, positions_funded, public_fte, accommodation, ministerial, departmental, sa"
"t_17","housing_sa",3.517,"housing, sa, housing_sa, trust, keogh, decision, increase, housing_trust, financial, properties, addressing, rent, tenants, topic, sa_properties, henry, homelessness, exceptional, henry_keogh, blue, vehicles, pay, electric, case, funding"
"t_8","aged_care",3.433,"public, care, home, safety, aged, aged_care, service, kordamentha, constituent, facilities, audit, system, operation, access, people, homes, recommendations, residents, residential, positions, servants, told, budget, public_servants, implemented"
"t_22","recreation_sport",3.285,"sport, recreation, recreation_sport, racing, sport_racing, hotel, police, club, million, sworn, budget, grants, officers, sworn_police, facilities, program, football, loan, fte, female, oval, president, clubs, police_officers, committee"
"t_21","ethnic_affairs",3.118,"assistant, board, community, consultation, romaldi, multicultural, sameac, assisting, affairs, organisations, due, register, role, commission, events, comments, lobbyists, face, appointment, appointments, meetings, publicly, council, result, ethnic"
"t_20","education_child",2.925,"education, building, program, schools, plans, development, deputy, progress, guarantee, million, website, education_child, child_development, child, outlined, areas, infrastructure, building_schools, development_website, progress_plans, outlined_education, program_progress, deputy_guarantee, schools_infrastructure, infrastructure_program"
